"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"DK Metcalf","SEA","WR","37.4","37.4","1","0","0","0","0","0","0","0","0","8","6","134","3"
"Deebo Samuel","SF","WR","35.8","35.8","1","0","0","0","0","3","22","1","0","4","4","116","2"
"Nico Collins","HOU","WR","34.1","34.1","1","0","0","0","0","0","0","0","0","12","9","191","1"
"CeeDee Lamb","DAL","WR","32.6","32.6","1","0","0","0","0","2","30","0","0","17","12","116","1"
"Tyreek Hill","MIA","WR","32.3","32.3","1","0","0","0","0","2","-4","0","0","7","5","157","2"
"Ja'Marr Chase","CIN","WR","31.9","31.9","1","1","-7","0","0","0","0","0","0","12","11","149","1"
"Geno Smith","SEA","QB","30","30","1","23","334","3","1","2","6","1","0","0","0","0","0"
"Joe Mixon","CIN","RB","29.7","29.7","1","0","0","0","0","19","68","2","0","7","6","49","0"
"Brock Purdy","SF","QB","29.5","29.5","1","19","314","4","0","2","9","0","0","0","0","0","0"
"Mike Evans","TB","WR","29.2","29.2","1","0","0","0","0","0","0","0","0","12","7","162","1"
"Sam LaPorta","DET","TE","29","29","1","0","0","0","0","0","0","0","0","9","9","140","1"
"Alvin Kamara","NO","RB","28.9","28.9","1","0","0","0","0","14","51","2","0","8","6","58","0"
"Dak Prescott","DAL","QB","28.3","28.3","1","29","299","3","0","7","23","0","0","0","0","0","0"
"Christian Watson","GB","WR","27.6","27.6","1","0","0","0","0","2","15","0","0","9","7","71","2"
"Michael Pittman Jr.","IND","WR","27.5","27.5","1","0","0","0","0","0","0","0","0","16","11","105","1"
"Jake Browning","CIN","QB","26.4","26.4","1","32","354","1","0","2","22","1","0","1","1","-7","0"
"De'Von Achane","MIA","RB","25.3","25.3","1","0","0","0","0","17","73","2","0","4","3","30","0"
"Trevor Lawrence","JAX","QB","25.1","25.1","1","22","258","2","0","5","8","1","0","0","0","0","0"
"Derrick Henry","TEN","RB","25","25","1","0","0","0","0","21","102","2","0","2","1","18","0"
"DeVonta Smith","PHI","WR","24.6","24.6","1","0","0","0","0","0","0","0","0","11","9","96","1"
"Jalen Hurts","PHI","QB","23.9","23.9","1","26","298","1","0","7","20","1","0","0","0","0","0"
"Puka Nacua","LAR","WR","23.9","23.9","1","0","0","0","0","2","34","0","0","7","4","105","1"
"Jordan Love","GB","QB","23.7","23.7","1","25","267","3","0","2","10","0","0","0","0","0","0"
"Evan Engram","JAX","TE","23.2","23.2","1","0","0","0","0","0","0","0","0","9","9","82","1"
"Matthew Stafford","LAR","QB","23","23","1","22","279","3","0","1","-2","0","0","0","0","0","0"
"Trey McBride","ARI","TE","22.9","22.9","1","0","0","0","0","0","0","0","0","9","8","89","1"
"James Conner","ARI","RB","22.5","22.5","1","0","0","0","0","25","105","2","0","2","0","0","0"
"Chuba Hubbard","CAR","RB","22.4","22.4","1","0","0","0","0","25","104","2","0","0","0","0","0"
"Christian McCaffrey","SF","RB","22.3","22.3","1","0","0","0","0","17","93","1","0","4","3","40","0"
"Isiah Pacheco","KC","RB","21.3","21.3","1","0","0","0","0","18","110","1","0","4","3","13","0"
"Kyren Williams","LAR","RB","20.2","20.2","1","0","0","0","0","21","88","1","0","5","3","24","0"
"Jake Ferguson","DAL","TE","19.7","19.7","1","0","0","0","0","0","0","0","0","8","6","77","1"
"Rachaad White","TB","RB","19.6","19.6","1","0","0","0","0","20","84","1","0","5","3","22","0"
"A.J. Brown","PHI","WR","19.4","19.4","1","0","0","0","0","0","0","0","0","13","8","114","0"
"Tua Tagovailoa","MIA","QB","19.2","19.2","1","18","280","2","0","0","0","0","0","0","0","0","0"
"Sam Howell","WAS","QB","19.2","19.2","1","12","127","0","1","4","21","2","0","0","0","0","0"
"Alec Pierce","IND","WR","19","19","1","0","0","0","0","0","0","0","0","6","3","100","1"
"DeAndre Hopkins","TEN","WR","18.9","18.9","1","0","0","0","0","1","4","0","0","12","5","75","1"
"Gardner Minshew","IND","QB","18.7","18.7","1","26","312","2","0","3","2","0","1","0","0","0","0"
"Parker Washington","JAX","WR","18.1","18.1","1","0","0","0","0","0","0","0","0","6","6","61","1"
"Travis Etienne Jr.","JAX","RB","17.9","17.9","1","0","0","0","0","11","45","1","0","4","4","34","0"
"Tony Pollard","DAL","RB","17.3","17.3","1","0","0","0","0","20","68","1","0","4","3","15","0"
"Chris Olave","NO","WR","16.9","16.9","1","0","0","0","0","0","0","0","0","8","5","119","0"
"Zach Charbonnet","SEA","RB","16.9","16.9","1","0","0","0","0","19","60","1","0","2","1","39","0"
"Brandin Cooks","DAL","WR","16.5","16.5","1","0","0","0","0","0","0","0","0","4","4","45","1"
"Jared Goff","DET","QB","16.3","16.3","1","16","213","2","0","2","-2","0","0","0","0","0","0"
"Joe Flacco","CLE","QB","16.2","16.2","1","23","254","2","1","0","0","0","0","0","0","0","0"
"C.J. Stroud","HOU","QB","16.1","16.1","1","16","274","1","0","6","11","0","0","0","0","0","0"
"Cooper Kupp","LAR","WR","15.9","15.9","1","0","0","0","0","0","0","0","0","8","6","39","1"
