"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Keenan Allen","LAC","WR","31.1","1","0","0","0","0","0","0","0","0","10","8","111","2"
"Daniel Jones","NYG","QB","30.7","1","26","321","2","1","9","59","1","0","0","0","0","0"
"Puka Nacua","LAR","WR","30.1","1","0","0","0","0","2","4","0","0","20","15","147","0"
"Mike Evans","TB","WR","29.1","1","0","0","0","0","0","0","0","0","8","6","171","1"
"Tee Higgins","CIN","WR","28.9","1","0","0","0","0","0","0","0","0","12","8","89","2"
"Brian Robinson Jr.","WAS","RB","28.9","1","0","0","0","0","18","87","2","0","3","2","42","0"
"Kirk Cousins","MIN","QB","28.6","1","31","364","4","0","0","0","0","1","0","0","0","0"
"Kyren Williams","LAR","RB","28","1","0","0","0","0","14","52","1","0","10","6","48","1"
"Nico Collins","HOU","WR","27.6","1","0","0","0","0","0","0","0","0","9","7","146","1"
"Saquon Barkley","NYG","RB","27.2","1","0","0","0","0","17","63","1","0","7","6","29","1"
"D'Andre Swift","PHI","RB","27.1","1","0","0","0","0","28","175","1","0","3","3","6","0"
"Russell Wilson","DEN","QB","25.9","1","18","308","3","1","6","56","0","1","0","0","0","0"
"Tyler Lockett","SEA","WR","25.9","1","0","0","0","0","0","0","0","0","10","8","59","2"
"Raheem Mostert","MIA","RB","25.7","1","0","0","0","0","18","121","2","0","1","1","6","0"
"T.J. Hockenson","MIN","TE","25.6","1","0","0","0","0","0","0","0","0","8","7","66","2"
"CeeDee Lamb","DAL","WR","25.3","1","0","0","0","0","0","0","0","0","13","11","143","0"
"Joshua Dobbs","ARI","QB","25.2","1","21","228","1","0","3","41","1","0","0","0","0","0"
"Jalen Hurts","PHI","QB","25.2","1","18","193","1","1","12","35","2","0","0","0","0","0"
"Justin Jefferson","MIN","WR","24.9","1","0","0","0","0","0","0","0","1","13","11","159","0"
"Jerome Ford","CLE","RB","24.1","1","0","0","0","0","16","106","0","0","4","3","25","1"
"Josh Allen","BUF","QB","23.7","1","31","274","3","0","3","7","0","0","0","0","0","0"
"Josh Reynolds","DET","WR","23.6","1","0","0","0","0","0","0","0","0","6","5","66","2"
"Geno Smith","SEA","QB","23.1","1","32","328","2","0","3","20","0","0","0","0","0","0"
"DeVonta Smith","PHI","WR","23.1","1","0","0","0","0","0","0","0","0","5","4","131","1"
"Jared Goff","DET","QB","22.9","1","28","323","3","1","0","0","0","0","0","0","0","0"
"Lamar Jackson","BAL","QB","22.9","1","24","237","2","0","12","54","0","0","0","0","0","0"
"George Pickens","PIT","WR","22.7","1","0","0","0","0","0","0","0","0","10","4","127","1"
"Christian McCaffrey","SF","RB","22.5","1","0","0","0","0","20","116","1","0","3","3","19","0"
"Justin Herbert","LAC","QB","22.2","1","27","305","2","0","1","0","0","0","0","0","0","0"
"Deebo Samuel","SF","WR","22.1","1","0","0","0","0","5","38","1","0","9","6","63","0"
"Christian Kirk","JAX","WR","22","1","1","-1","0","0","0","0","0","0","14","11","110","0"
"C.J. Stroud","HOU","QB","21.5","1","30","384","2","0","3","1","0","1","0","0","0","0"
"Desmond Ridder","ATL","QB","21.4","1","19","237","1","1","10","39","1","0","0","0","0","0"
"Rachaad White","TB","RB","21.3","1","0","0","0","0","17","73","1","0","5","5","30","0"
"Sam Howell","WAS","QB","21.3","1","27","299","2","0","2","13","0","0","0","0","0","0"
"Patrick Mahomes","KC","QB","21.2","1","29","305","2","1","7","30","0","0","0","0","0","0"
"Gabe Davis","BUF","WR","21.2","1","0","0","0","0","0","0","0","0","7","6","92","1"
"Bijan Robinson","ATL","RB","21.2","1","0","0","0","0","19","124","0","0","5","4","48","0"
"Ryan Tannehill","TEN","QB","21","1","20","246","1","0","1","12","1","0","0","0","0","0"
"Zack Moss","IND","RB","20.7","1","0","0","0","0","18","88","1","0","4","4","19","0"
"Brandon Johnson","DEN","WR","20.6","1","0","0","0","0","0","0","0","0","3","2","66","2"
"Adam Thielen","CAR","WR","20.4","1","0","0","0","0","0","0","0","0","9","7","54","1"
"Davante Adams","LV","WR","20.4","1","0","0","0","0","0","0","0","0","8","6","84","1"
"Jordan Love","GB","QB","20.3","1","14","151","3","0","2","23","0","0","0","0","0","0"
"Marvin Mims Jr.","DEN","WR","20.3","1","0","0","0","0","2","10","0","0","2","2","113","1"
"Tank Dell","HOU","WR","20.2","1","0","0","0","0","0","0","0","0","10","7","72","1"
"James Cook","BUF","RB","19.9","1","0","0","0","0","17","123","0","0","4","4","36","0"
"Tony Pollard","DAL","RB","19.9","1","0","0","0","0","25","72","0","0","8","7","37","0"
"Jayden Reed","GB","WR","19.7","1","0","0","0","0","0","0","0","0","8","4","37","2"
"Dak Prescott","DAL","QB","19.6","1","31","255","2","0","6","14","0","0","0","0","0","0"
"Drake London","ATL","WR","18.7","1","0","0","0","0","0","0","0","0","8","6","67","1"
"Derrick Henry","TEN","RB","18.5","1","0","0","0","0","25","80","1","0","4","3","15","0"
"Kenneth Walker III","SEA","RB","18.4","1","0","0","0","0","17","43","2","0","2","1","11","0"
"Baker Mayfield","TB","QB","18.4","1","26","317","1","0","6","17","0","0","0","0","0","0"
"Anthony Richardson","IND","QB","17.7","1","6","56","0","0","3","35","2","0","0","0","0","0"
"Marquise Brown","ARI","WR","17.4","1","0","0","0","0","0","0","0","0","10","6","54","1"
