"Name","Team","lineupSlot","points",averagePoints,"GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Ja'Marr Chase","CIN","WR","52.2","52.2","1","0","0","0","0","0","0","0","0","19","15","192","3"
"DJ Moore","CHI","WR","49","49","1","0","0","0","0","0","0","0","0","10","8","230","3"
"Travis Etienne Jr.","JAX","RB","36.4","36.4","1","0","0","0","0","26","136","2","0","5","4","48","0"
"Zack Moss","IND","RB","33.5","33.5","1","0","0","0","0","23","165","2","0","2","2","30","0"
"Justin Fields","CHI","QB","33","33","1","15","282","4","0","11","57","0","0","0","0","0","0"
"Tyreek Hill","MIA","WR","32.1","32.1","1","0","0","0","0","0","0","0","0","9","8","181","1"
"Breece Hall","NYJ","RB","28.4","28.4","1","0","0","0","0","22","177","1","0","3","3","17","0"
"Josh Allen","BUF","QB","27.8","27.8","1","27","359","2","1","4","14","1","0","0","0","0","0"
"Adam Thielen","CAR","WR","27.7","27.7","1","0","0","0","0","0","0","0","0","13","11","107","1"
"George Kittle","SF","TE","27.7","27.7","1","0","0","0","0","0","0","0","0","4","3","67","3"
"Jared Goff","DET","QB","27.4","27.4","1","20","236","3","0","2","0","1","0","0","0","0","0"
"Jalen Hurts","PHI","QB","27.3","27.3","1","25","303","1","1","15","72","1","0","0","0","0","0"
"George Pickens","PIT","WR","26.6","26.6","1","0","0","0","0","1","16","0","0","10","6","130","1"
"Desmond Ridder","ATL","QB","26.2","26.2","1","28","329","1","0","4","10","1","0","0","0","0","0"
"Brock Purdy","SF","QB","26.1","26.1","1","17","252","4","0","0","0","0","0","0","0","0","0"
"Dallas Goedert","PHI","TE","25.7","25.7","1","0","0","0","0","0","0","0","0","9","8","117","1"
"Sam Howell","WAS","QB","25.4","25.4","1","37","388","2","1","4","19","0","0","0","0","0","0"
"Stefon Diggs","BUF","WR","24.1","24.1","1","0","0","0","0","0","0","0","1","11","8","121","1"
"Joe Burrow","CIN","QB","23.4","23.4","1","36","317","3","1","4","7","0","0","0","0","0","0"
"Travis Kelce","KC","TE","22.7","22.7","1","0","0","0","0","0","0","0","0","11","10","67","1"
"DeAndre Hopkins","TEN","WR","22","22","1","0","0","0","0","0","0","0","0","11","8","140","0"
"Gabe Davis","BUF","WR","22","22","1","0","0","0","0","0","0","0","0","8","6","100","1"
"De'Von Achane","MIA","RB","21.5","21.5","1","0","0","0","0","11","151","1","1","1","1","14","0"
"David Montgomery","DET","RB","20.9","20.9","1","0","0","0","0","19","109","1","0","6","2","20","0"
"Logan Thomas","WAS","TE","20.7","20.7","1","0","0","0","0","0","0","0","1","11","9","77","1"
"Calvin Ridley","JAX","WR","20.6","20.6","1","0","0","0","0","2","14","0","0","8","7","122","0"
"Jakobi Meyers","LV","WR","20.5","20.5","1","0","0","0","0","1","0","0","0","10","7","75","1"
