"Name","Team","lineupSlot","points","avg_points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"CeeDee Lamb","DAL","WR","403.2","23.7","17","0","0","0","0","14","113","2","2","181","135","1749","12"
"Josh Allen","BUF","QB","392.6","23.1","17","385","4306","29","18","111","524","15","4","0","0","0","0"
"Christian McCaffrey","SF","RB","391.3","24.5","16","0","0","0","0","272","1459","14","2","83","67","564","7"
"Tyreek Hill","MIA","WR","376.4","23.5","16","0","0","0","0","6","15","0","1","171","119","1799","13"
"Jalen Hurts","PHI","QB","356.8","21","17","352","3858","23","15","157","605","15","5","0","0","0","0"
"Dak Prescott","DAL","QB","342.8","20.2","17","410","4516","36","9","55","242","2","2","0","0","0","0"
"Lamar Jackson","BAL","QB","331.2","20.7","16","307","3678","24","7","148","821","5","6","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","330.9","20.7","16","0","0","0","0","4","24","0","1","165","119","1515","10"
"Jordan Love","GB","QB","319.1","18.8","17","372","4159","32","11","50","247","4","3","0","0","0","0"
"Puka Nacua","LAR","WR","298.5","17.6","17","0","0","0","0","12","89","0","0","159","105","1486","6"
"Brock Purdy","SF","QB","295.6","18.5","16","308","4280","31","11","39","144","2","2","0","0","0","0"
"Jared Goff","DET","QB","291.1","17.1","17","407","4575","30","12","32","21","2","3","0","0","0","0"
"Breece Hall","NYJ","RB","290.5","17.1","17","0","0","0","0","223","994","5","0","95","76","591","4"
"A.J. Brown","PHI","WR","289.6","17","17","0","0","0","0","0","0","0","2","158","106","1456","7"
"DJ Moore","CHI","WR","286.5","16.9","17","0","0","0","0","4","21","1","1","136","96","1364","8"
"Mike Evans","TB","WR","282.5","16.6","17","0","0","0","0","0","0","0","0","135","79","1255","13"
"Travis Etienne Jr.","JAX","RB","282.4","16.6","17","0","0","0","0","267","1008","11","0","73","58","476","1"
"Patrick Mahomes","KC","QB","280.3","17.5","16","401","4184","27","14","75","389","0","3","0","0","0","0"
"C.J. Stroud","HOU","QB","275","18.3","15","319","4108","23","5","39","167","3","4","1","1","0","0"
"Baker Mayfield","TB","QB","274.1","16.1","17","364","4044","28","10","62","163","1","3","0","0","0","0"
"Stefon Diggs","BUF","WR","273.8","16.1","17","0","0","0","0","1","5","0","1","160","107","1183","8"
"Keenan Allen","LAC","WR","272.9","21","13","1","49","1","0","2","6","0","1","150","108","1243","7"
"Tua Tagovailoa","MIA","QB","270.4","15.9","17","388","4624","29","14","35","74","0","5","0","0","0","0"
"Rachaad White","TB","RB","267.9","15.8","17","0","0","0","0","272","990","6","2","70","64","549","3"
"Raheem Mostert","MIA","RB","267.7","17.8","15","0","0","0","0","209","1012","18","1","32","25","175","3"
"Joe Mixon","CIN","RB","267","15.7","17","0","0","0","0","257","1034","9","0","64","52","376","3"
"Davante Adams","LV","WR","265.4","15.6","17","0","0","0","0","0","0","0","0","175","103","1144","8"
"Ja'Marr Chase","CIN","WR","263","16.4","16","1","-7","0","0","3","-6","0","0","145","100","1216","7"
"Trevor Lawrence","JAX","QB","262.5","16.4","16","370","4016","21","14","70","339","4","7","0","0","0","0"
"Nico Collins","HOU","WR","260.4","17.4","15","0","0","0","0","1","7","0","0","109","80","1297","8"
"Russell Wilson","DEN","QB","256.9","17.1","15","297","3070","26","8","80","341","3","5","0","0","0","0"
"Sam Howell","WAS","QB","256.1","15.1","17","388","3945","21","21","48","263","5","2","1","1","4","0"
"Kyren Williams","LAR","RB","255","21.3","12","0","0","0","0","228","1144","12","2","48","32","206","3"
"Michael Pittman Jr.","IND","WR","250.2","15.6","16","0","0","0","0","0","0","0","1","156","109","1152","4"
"Brandon Aiyuk","SF","WR","249.2","15.6","16","0","0","0","0","0","0","0","1","105","75","1342","7"
"Bijan Robinson","ATL","RB","246.3","14.5","17","0","0","0","0","214","976","4","3","86","58","487","4"
"Deebo Samuel","SF","WR","243.7","16.2","15","0","0","0","0","37","225","5","0","89","60","892","7"
"Matthew Stafford","LAR","QB","243.1","16.2","15","326","3965","24","11","21","65","0","0","0","0","0","0"
"Jahmyr Gibbs","DET","RB","242.1","16.1","15","0","0","0","0","182","945","10","1","71","52","316","1"
"Derek Carr","NO","QB","241.1","14.2","17","375","3878","25","8","32","40","0","3","0","0","0","0"
"Sam LaPorta","DET","TE","239.3","14.1","17","0","0","0","0","1","4","0","0","120","86","889","10"
"Derrick Henry","TEN","RB","238.1","14","17","2","14","2","0","280","1167","12","0","36","28","214","0"
"Alvin Kamara","NO","RB","233","17.9","13","0","0","0","0","180","694","5","0","87","75","466","1"
"James Cook","BUF","RB","232.7","13.7","17","0","0","0","0","237","1122","2","2","54","44","445","4"
"Justin Herbert","LAC","QB","232.2","17.9","13","297","3134","20","7","52","228","3","1","1","1","10","0"
"Chris Olave","NO","WR","231.3","14.5","16","0","0","0","0","0","0","0","0","138","87","1123","5"
"Adam Thielen","CAR","WR","231","13.6","17","0","0","0","0","1","6","0","0","137","103","1014","4"
"Evan Engram","JAX","TE","230.3","13.5","17","0","0","0","0","0","0","0","2","143","114","963","4"
"Justin Fields","CHI","QB","230.2","17.7","13","227","2562","16","9","124","657","4","4","0","0","0","0"
"Calvin Ridley","JAX","WR","229.9","13.5","17","0","0","0","0","9","23","0","0","136","76","1016","8"
"DeVonta Smith","PHI","WR","227.6","14.2","16","0","0","0","0","0","0","0","1","112","81","1066","7"
"Amari Cooper","CLE","WR","227","15.1","15","0","0","0","0","0","0","0","1","128","72","1250","5"
"Geno Smith","SEA","QB","226.5","15.1","15","323","3624","20","9","37","155","1","3","1","1","-2","0"
"DK Metcalf","SEA","WR","225.4","14.1","16","0","0","0","0","0","0","0","0","119","66","1114","8"
"DeAndre Hopkins","TEN","WR","223.6","13.2","17","0","0","0","0","2","9","0","0","136","75","1057","7"
"Saquon Barkley","NYG","RB","223.2","15.9","14","0","0","0","0","247","962","6","2","60","41","280","4"
"Tony Pollard","DAL","RB","222.6","13.1","17","0","0","0","0","252","1005","6","1","67","55","311","0"
"Jordan Addison","MIN","WR","221.3","13","17","0","0","0","0","1","2","0","0","108","70","911","10"
"Travis Kelce","KC","TE","219.4","14.6","15","0","0","0","0","0","0","0","1","121","93","984","5"
"T.J. Hockenson","MIN","TE","219","14.6","15","0","0","0","0","0","0","0","1","127","95","960","5"
"Jayden Reed","GB","WR","217.2","13.6","16","0","0","0","0","11","119","2","0","94","64","793","8"
"Jakobi Meyers","LV","WR","214.1","13.4","16","2","12","1","0","4","24","2","0","106","71","807","8"
"Isiah Pacheco","KC","RB","213.9","15.3","14","0","0","0","0","205","935","7","1","49","44","244","2"
"Garrett Wilson","NYJ","WR","213.2","12.5","17","0","0","0","0","4","0","0","2","168","95","1042","3"
"Rashee Rice","KC","WR","212.5","13.3","16","0","0","0","0","1","-3","0","1","102","79","938","7"
"Jerome Ford","CLE","RB","211.2","12.4","17","0","0","0","0","204","813","4","1","63","44","319","5"
"Chris Godwin","TB","WR","209.2","12.3","17","0","0","0","0","4","38","1","0","131","83","1024","2"
"Terry McLaurin","WAS","WR","209.2","12.3","17","0","0","0","0","0","0","1","0","131","79","1002","4"
"George Pickens","PIT","WR","208.8","12.3","17","0","0","0","0","3","18","0","0","106","63","1140","5"
"David Montgomery","DET","RB","207.2","14.8","14","0","0","0","0","219","1015","13","1","24","16","117","0"
"Zay Flowers","BAL","WR","206.4","12.9","16","0","0","0","0","8","56","1","0","108","77","858","5"
"George Kittle","SF","TE","203.2","12.7","16","0","0","0","0","1","2","0","0","90","65","1020","6"
"Tyler Lockett","SEA","WR","202.4","11.9","17","0","0","0","0","0","0","0","0","122","79","894","5"
"Justin Jefferson","MIN","WR","202.2","20.2","10","0","0","0","0","1","-12","0","1","100","68","1074","5"
"James Conner","ARI","RB","201.5","15.5","13","0","0","0","0","208","1040","7","0","33","27","165","2"
"David Njoku","CLE","TE","201.2","12.6","16","0","0","0","0","0","0","0","2","123","81","882","6"
"Joshua Dobbs","ARI","QB","200.7","15.4","13","262","2464","13","10","77","421","6","7","0","0","0","0"
"Kenneth Walker III","SEA","RB","199.4","13.3","15","0","0","0","0","219","905","8","0","37","29","259","1"
"D'Andre Swift","PHI","RB","199.3","12.5","16","0","0","0","0","229","1049","5","1","49","39","214","1"
"Jaylen Waddle","MIA","WR","198.6","14.2","14","0","0","0","0","3","12","0","0","104","72","1014","4"
"Brian Robinson Jr.","WAS","RB","198","13.2","15","0","0","0","0","178","733","5","2","43","36","367","4"
"Jaylen Warren","PIT","RB","196.4","11.6","17","0","0","0","0","149","784","4","2","74","61","370","0"
"Gardner Minshew","IND","QB","196.2","12.3","16","305","3305","15","9","34","100","3","5","0","0","0","0"
"Najee Harris","PIT","RB","195.5","11.5","17","0","0","0","0","255","1035","8","1","38","29","170","0"
"De'Von Achane","MIA","RB","190.7","17.3","11","0","0","0","0","103","800","8","1","37","27","197","3"
"Courtland Sutton","DEN","WR","190.2","11.9","16","0","0","0","0","0","0","0","3","90","59","772","10"
"Gus Edwards","BAL","RB","187","11","17","0","0","0","0","198","810","13","2","13","12","180","0"
"Austin Ekeler","LAC","RB","185.4","13.2","14","0","0","0","0","179","628","5","4","74","51","436","1"
"Chuba Hubbard","CAR","RB","182.5","10.7","17","0","0","0","0","238","902","5","0","44","39","233","0"
"Trey McBride","ARI","TE","181.5","10.7","17","0","0","0","0","0","0","0","0","106","81","825","3"
"Cole Kmet","CHI","TE","181.1","10.7","17","0","0","0","0","3","2","0","0","91","73","719","6"
"Josh Jacobs","LV","RB","181.1","13.9","13","0","0","0","0","233","805","6","1","54","37","296","0"
"Javonte Williams","DEN","RB","179.2","11.2","16","0","0","0","0","217","774","3","1","58","47","228","2"
"Jake Ferguson","DAL","TE","177.1","10.4","17","0","0","0","0","0","0","0","0","102","71","761","5"
"Desmond Ridder","ATL","QB","176.7","11.8","15","249","2836","12","12","53","193","5","7","1","1","-6","0"
"Ezekiel Elliott","NE","RB","174.5","10.3","17","0","0","0","0","184","642","3","1","65","51","313","2"
"Romeo Doubs","GB","WR","174.4","10.3","17","0","0","0","0","0","0","0","0","96","59","674","8"
"Drake London","ATL","WR","173.5","10.8","16","1","22","0","0","0","0","0","0","110","69","905","2"
"Brandin Cooks","DAL","WR","173.2","10.8","16","0","0","0","0","5","35","0","0","81","54","657","8"
"Zack Moss","IND","RB","169.6","12.1","14","0","0","0","0","183","794","5","0","37","27","192","2"
"Tank Dell","HOU","WR","165","15","11","0","0","0","0","11","51","0","0","75","47","709","7"
"Cooper Kupp","LAR","WR","164.4","13.7","12","0","0","0","0","1","-3","0","0","95","59","737","5"
"Devin Singletary","HOU","RB","163.1","9.6","17","1","6","1","0","216","898","4","0","38","30","193","0"
"Gabe Davis","BUF","WR","161.4","9.5","17","0","0","0","0","1","-2","0","1","81","45","746","7"
"Curtis Samuel","WAS","WR","157.2","9.8","16","0","0","0","0","7","39","1","0","91","62","613","4"
"Josh Downs","IND","WR","157.1","9.2","17","0","0","0","0","0","0","0","0","98","68","771","2"
"Jonathan Taylor","IND","RB","156.4","15.6","10","0","0","0","0","169","741","7","0","23","19","153","1"
"Bryce Young","CAR","QB","156.4","9.8","16","315","2877","11","10","39","253","0","6","0","0","0","0"
"Tyjae Spears","TEN","RB","153.8","9","17","0","0","0","0","100","453","2","0","70","52","385","1"
"Diontae Johnson","PIT","WR","152.7","11.7","13","0","0","0","0","0","0","0","0","87","51","717","5"
"Darius Slayton","NYG","WR","151","8.9","17","0","0","0","0","0","0","0","0","79","50","770","4"
"Dalton Schultz","HOU","TE","150.5","10","15","0","0","0","0","0","0","0","1","88","59","635","5"
"Christian Kirk","JAX","WR","150.3","12.5","12","1","-1","0","0","1","6","0","2","85","57","787","3"
"Dalton Kincaid","BUF","TE","150.3","9.4","16","0","0","0","0","0","0","0","1","91","73","673","2"
"Jaxon Smith-Njigba","SEA","WR","149.8","8.8","17","0","0","0","0","0","0","0","0","93","63","628","4"
"Kirk Cousins","MIN","QB","149.7","18.7","8","216","2331","18","5","14","25","0","4","0","0","0","0"
"Rashid Shaheed","NO","WR","149.6","10","15","0","0","0","0","7","37","0","1","75","46","719","5"
"Joe Burrow","CIN","QB","147.2","14.7","10","244","2309","15","6","31","88","0","1","0","0","0","0"
"Tyler Boyd","CIN","WR","146.8","8.6","17","0","0","0","1","2","11","0","0","98","67","667","2"
"Kyler Murray","ARI","QB","146.4","18.3","8","176","1799","10","5","44","244","3","0","0","0","0","0"
"Rhamondre Stevenson","NE","RB","145.7","12.1","12","0","0","0","0","156","619","4","1","51","38","238","0"
"Jake Browning","CIN","QB","144.1","16","9","171","1936","12","7","27","127","3","0","1","1","-7","0"
"Jerry Jeudy","DEN","WR","141.8","8.9","16","0","0","0","0","0","0","0","0","87","54","758","2"
"Tee Higgins","CIN","WR","137.6","11.5","12","0","0","0","0","0","0","0","0","76","42","656","5"
"Tyler Allgeier","ATL","RB","137.6","8.1","17","0","0","0","0","186","683","4","0","23","18","193","1"
"Kyle Pitts","ATL","TE","137.3","8.1","17","0","0","0","0","1","-4","0","0","90","53","667","3"
"Dallas Goedert","PHI","TE","136.3","9.7","14","0","0","0","0","1","1","0","0","83","59","592","3"
"Mark Andrews","BAL","TE","135.4","13.5","10","0","0","0","0","1","0","0","0","61","45","544","6"
"Aaron Jones","GB","RB","134.9","12.3","11","0","0","0","0","142","656","2","1","43","30","233","1"
"Marquise Brown","ARI","WR","134.7","9.6","14","0","0","0","0","2","23","0","0","101","51","574","4"
"Alexander Mattison","MIN","RB","133.2","8.3","16","0","0","0","0","180","700","0","2","44","30","192","3"
"Wan'Dale Robinson","NYG","WR","133.2","8.9","15","0","0","0","0","9","87","1","0","78","60","525","1"
"Elijah Moore","CLE","WR","132.1","7.8","17","0","0","0","0","9","11","0","2","104","59","640","2"
"Josh Reynolds","DET","WR","128.8","7.6","17","0","0","0","0","0","0","0","1","64","40","608","5"
"Antonio Gibson","WAS","RB","127.4","8","16","0","0","0","0","65","265","1","2","59","48","389","2"
"Logan Thomas","WAS","TE","126.8","7.9","16","0","0","0","0","1","2","0","2","79","55","496","4"
"Aidan O'Connell","LV","QB","125.8","11.4","11","213","2218","12","7","17","11","1","2","0","0","0","0"
"Jahan Dotson","WAS","WR","124.8","7.3","17","0","0","0","0","0","0","0","0","83","49","518","4"
"Jonnu Smith","ATL","TE","124.2","7.3","17","0","0","0","0","1","0","0","1","69","50","582","3"
"Tyler Conklin","NYJ","TE","123.1","7.2","17","0","0","0","0","1","0","0","0","87","61","621","0"
"Samaje Perine","DEN","RB","121.3","7.1","17","0","0","0","0","53","238","1","2","56","50","455","0"
"K.J. Osborn","MIN","WR","120","7.5","16","0","0","0","0","0","0","0","0","75","48","540","3"
"Zach Wilson","NYJ","QB","119.9","10","12","221","2271","8","7","36","211","0","7","0","0","0","0"
"Hunter Henry","NE","TE","119.9","8.6","14","0","0","0","0","0","0","0","0","62","42","419","6"
"Dontayvion Wicks","GB","WR","119.2","7.9","15","1","14","0","0","1","1","0","1","58","39","581","4"
"Kareem Hunt","CLE","RB","118.5","7.9","15","0","0","0","0","135","411","9","0","21","15","84","0"
"AJ Dillon","GB","RB","117.6","7.8","15","0","0","0","0","178","613","2","0","28","22","223","0"
"Cade Otton","TB","TE","116.5","6.9","17","0","0","0","0","0","0","0","1","67","47","455","4"
"DJ Chark Jr.","CAR","WR","115.5","7.7","15","0","0","0","0","0","0","0","1","66","35","525","5"
"Michael Wilson","ARI","WR","114.5","8.8","13","0","0","0","0","0","0","0","0","58","38","565","3"
"Chigoziem Okonkwo","TEN","TE","113.4","6.7","17","0","0","0","0","2","6","0","0","77","54","528","1"
"Darren Waller","NYG","TE","113.2","9.4","12","0","0","0","0","0","0","0","0","74","52","552","1"
"Khalil Shakir","BUF","WR","113.1","6.7","17","0","0","0","0","1","10","0","0","45","39","611","2"
"Khalil Herbert","CHI","RB","112.5","9.4","12","0","0","0","0","132","611","2","1","31","20","134","1"
"Tutu Atwell","LAR","WR","112.4","7","16","0","0","0","0","5","31","0","0","67","39","483","3"
"Gerald Everett","LAC","TE","111.1","7.4","15","0","0","0","0","3","10","0","0","70","51","411","3"
"Kenny Pickett","PIT","QB","110.2","9.2","12","201","2070","6","4","42","54","1","0","0","0","0","0"
"Justice Hill","BAL","RB","109.3","6.8","16","0","0","0","0","84","387","3","1","39","28","206","1"
"Tyler Higbee","LAR","TE","108.5","7.2","15","0","0","0","0","0","0","0","0","70","47","495","2"
"Odell Beckham Jr.","BAL","WR","107.5","7.7","14","0","0","0","0","0","0","0","1","64","35","565","3"
"Demario Douglas","NE","WR","107.2","7.7","14","0","0","0","0","8","41","0","1","79","49","561","0"
"Joshua Palmer","LAC","WR","106.7","10.7","10","0","0","0","0","1","6","0","1","61","38","581","2"
"Mac Jones","NE","QB","106.4","9.7","11","224","2120","10","12","26","96","0","2","0","0","0","0"
"Zach Charbonnet","SEA","RB","106.1","6.6","16","0","0","0","0","108","462","1","0","40","33","209","0"
"Jaleel McLaughlin","DEN","RB","106","6.2","17","0","0","0","0","76","410","1","0","36","31","160","2"
"Rondale Moore","ARI","WR","105","6.2","17","0","0","0","0","28","178","1","0","62","40","352","1"
"Roschon Johnson","CHI","RB","102.1","6.8","15","0","0","0","0","81","352","2","0","40","34","209","0"
"Will Levis","TEN","QB","102","11.3","9","149","1808","8","4","25","57","1","4","0","0","0","0"
"Noah Brown","HOU","WR","101.6","10.2","10","0","0","0","0","1","-1","0","0","55","33","567","2"
"Christian Watson","GB","WR","101.3","11.3","9","0","0","0","0","4","11","0","0","53","28","422","5"
"Isaiah Likely","BAL","TE","101.1","5.9","17","0","0","0","0","0","0","0","0","40","30","411","5"
"Ty Chandler","MIN","RB","101","5.9","17","0","0","0","0","102","461","3","0","25","21","159","0"
"Joe Flacco","CLE","QB","100.8","20.2","5","123","1616","13","8","9","2","0","1","0","0","0","0"
