Name,Team,lineupSlot,points,avg_points,GP,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns
Christian McCaffrey,SF,RB,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne Jr.,JAX,RB,11.9,11.9,1,0.0,0.0,0.0,0.0,12.0,44.0,1.0,1.0,3.0,2.0,15.0,0.0
Davante Adams,LV,WR,10.9,10.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,59.0,0.0
Brandon Aiyuk,SF,WR,4.8,4.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,28.0,0.0
DK Metcalf,SEA,WR,5.9,5.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,29.0,0.0
Cooper Kupp,LAR,WR,32.0,32.0,1,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,21.0,14.0,110.0,1.0
Jaylen Waddle,MIA,WR,16.2,16.2,1,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,5.0,109.0,0.0
Joe Burrow,CIN,QB,8.06,8.06,1,21.0,164.0,0.0,0.0,4.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
Raheem Mostert,MIA,RB,3.9,3.9,1,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,3.0,2.0,10.0,0.0
Nick Chubb,CLE,RB,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Njoku,CLE,TE,8.4,8.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,44.0,0.0
Zack Moss,CIN,RB,14.1,14.1,1,0.0,0.0,0.0,0.0,9.0,44.0,1.0,0.0,4.0,2.0,17.0,0.0
J.K. Dobbins,LAC,RB,22.9,22.9,1,0.0,0.0,0.0,0.0,10.0,135.0,1.0,0.0,3.0,3.0,4.0,0.0
Jordan Mason,SF,RB,22.2,22.2,1,0.0,0.0,0.0,0.0,28.0,147.0,1.0,0.0,1.0,1.0,5.0,0.0
Jets D/ST,NYJ,D/ST,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Goedert,PHI,TE,7.1,7.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,31.0,0.0
Cameron Dicker,LAC,K,12.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jefferson,MIN,WR,15.9,15.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,59.0,1.0
Jonathan Taylor,IND,RB,10.8,10.8,1,0.0,0.0,0.0,0.0,16.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0
Nico Collins,HOU,WR,17.7,17.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,117.0,0.0
Sam LaPorta,DET,TE,8.5,8.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,45.0,0.0
Joe Mixon,HOU,RB,26.8,26.8,1,0.0,0.0,0.0,0.0,30.0,159.0,1.0,0.0,3.0,3.0,19.0,0.0
Malik Nabers,NYG,WR,11.6,11.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,66.0,0.0
C.J. Stroud,HOU,QB,18.66,18.66,1,24.0,234.0,2.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Rashee Rice,KC,WR,17.3,17.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,103.0,0.0
Keenan Allen,CHI,WR,6.9,6.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,29.0,0.0
George Kittle,SF,TE,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,40.0,0.0
Jayden Reed,GB,WR,33.1,33.1,1,0.0,0.0,0.0,0.0,1.0,33.0,1.0,0.0,6.0,4.0,138.0,1.0
DeAndre Hopkins,TEN,WR,1.8,1.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0
Brock Purdy,SF,QB,10.34,10.34,1,19.0,231.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Ravens D/ST,BAL,D/ST,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Butker,KC,K,9.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakobi Meyers,LV,WR,9.4,9.4,1,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,61.0,0.0
Amon-Ra St. Brown,DET,WR,4.3,4.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,13.0,0.0
Garrett Wilson,NYJ,WR,12.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,60.0,0.0
Isiah Pacheco,KC,RB,15.8,15.8,1,0.0,0.0,0.0,0.0,15.0,45.0,1.0,0.0,3.0,2.0,33.0,0.0
Drake London,ATL,WR,3.5,3.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,15.0,0.0
Rachaad White,TB,RB,16.6,16.6,1,0.0,0.0,0.0,0.0,15.0,31.0,0.0,0.0,6.0,6.0,75.0,0.0
Patrick Mahomes,KC,QB,15.14,15.14,1,20.0,291.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0
Zay Flowers,BAL,WR,11.1,11.1,1,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,10.0,6.0,37.0,0.0
Aaron Jones,MIN,RB,18.9,18.9,1,0.0,0.0,0.0,0.0,14.0,94.0,1.0,0.0,2.0,2.0,15.0,0.0
Dalton Kincaid,BUF,TE,2.1,2.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,0.0
Diontae Johnson,CAR,WR,3.9,3.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,19.0,0.0
Xavier Worthy,KC,WR,20.8,20.8,1,0.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,3.0,2.0,47.0,1.0
Ladd McConkey,LAC,WR,14.9,14.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,39.0,1.0
Jordan Addison,MIN,WR,6.5,6.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,35.0,0.0
Ka'imi Fairbairn,HOU,K,17.0,17.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Likely,BAL,TE,26.1,26.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,111.0,1.0
Chargers D/ST,LAC,D/ST,15.0,15.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bijan Robinson,ATL,RB,16.1,16.1,1,0.0,0.0,0.0,0.0,18.0,68.0,0.0,0.0,5.0,5.0,43.0,0.0
Kyren Williams,LAR,RB,14.4,14.4,1,0.0,0.0,0.0,0.0,18.0,50.0,1.0,0.0,3.0,3.0,4.0,0.0
Mike Evans,TB,WR,23.1,23.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,61.0,2.0
Alvin Kamara,NO,RB,22.0,22.0,1,0.0,0.0,0.0,0.0,15.0,83.0,1.0,0.0,5.0,5.0,27.0,0.0
Jalen Hurts,PHI,QB,16.42,16.42,1,20.0,278.0,2.0,2.0,13.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0
Evan Engram,JAX,TE,1.5,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0
Calvin Ridley,TEN,WR,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,50.0,0.0
Brandon Aubrey,DAL,K,21.0,21.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
