Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns
Justin Jefferson,MIN,WR,23.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,133.0,1.0
Jonathan Taylor,IND,RB,15.5,2,0.0,0.0,0.0,0.0,12.0,103.0,0.0,1.0,4.0,2.0,32.0,0.0
Nico Collins,HOU,WR,27.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,135.0,1.0
Sam LaPorta,DET,TE,3.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,0.0
Joe Mixon,HOU,RB,8.0,2,0.0,0.0,0.0,0.0,9.0,25.0,0.0,0.0,5.0,3.0,25.0,0.0
Malik Nabers,NYG,WR,28.7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,127.0,1.0
C.J. Stroud,HOU,QB,14.3,2,23.0,260.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rashee Rice,KC,WR,18.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,75.0,1.0
Keenan Allen,CHI,WR,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Kittle,SF,TE,20.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,76.0,1.0
Jayden Reed,GB,WR,6.6,2,0.0,0.0,0.0,0.0,2.0,37.0,0.0,1.0,2.0,2.0,9.0,0.0
DeAndre Hopkins,TEN,WR,1.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0
Brock Purdy,SF,QB,13.96,2,28.0,319.0,1.0,1.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
Ravens D/ST,BAL,D/ST,9.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Butker,KC,K,10.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jameson Williams,DET,WR,14.4,2,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,11.0,5.0,79.0,0.0
Javonte Williams,DEN,RB,11.5,2,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,5.0,5.0,48.0,0.0
Bijan Robinson,ATL,RB,16.2,2,0.0,0.0,0.0,0.0,14.0,97.0,0.0,0.0,5.0,4.0,25.0,0.0
Kyren Williams,LAR,RB,15.2,2,0.0,0.0,0.0,0.0,12.0,25.0,1.0,0.0,5.0,4.0,27.0,0.0
Mike Evans,TB,WR,7.2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,42.0,0.0
Alvin Kamara,NO,RB,44.0,2,0.0,0.0,0.0,0.0,20.0,115.0,3.0,0.0,3.0,2.0,65.0,1.0
Jalen Hurts,PHI,QB,23.82,2,23.0,183.0,1.0,1.0,13.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0
