Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,percent_owned,percent_started,avg_points,injured
Tyreek Hill,MIA,WR,7.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,40.0,0.0,ACTIVE,0.0,0.0,0.0,False
Derrick Henry,BAL,RB,30.4,3,0.0,0.0,0.0,0.0,25.0,151.0,2.0,0.0,1.0,1.0,23.0,0.0,ACTIVE,0.0,0.0,0.0,False
Deebo Samuel Sr.,SF,WR,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOUBTFUL,0.0,0.0,0.0,False
Travis Kelce,KC,TE,7.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,30.0,0.0,ACTIVE,0.0,0.0,0.0,False
De'Von Achane,MIA,RB,8.8,3,0.0,0.0,0.0,0.0,11.0,30.0,0.0,0.0,5.0,3.0,28.0,0.0,ACTIVE,0.0,0.0,0.0,False
Lamar Jackson,BAL,QB,25.98,3,12.0,182.0,1.0,0.0,14.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
DeVonta Smith,PHI,WR,14.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,79.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Amari Cooper,CLE,WR,27.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,86.0,2.0,QUESTIONABLE,0.0,0.0,0.0,False
David Montgomery,DET,RB,21.2,3,0.0,0.0,0.0,0.0,23.0,105.0,1.0,0.0,3.0,3.0,17.0,0.0,ACTIVE,0.0,0.0,0.0,False
Terry McLaurin,WSH,WR,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,100.0,1.0,ACTIVE,0.0,0.0,0.0,False
