Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,avg_points,injured
Justin Jefferson,MIN,WR,20.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,85.0,1.0,ACTIVE,18.81,False
Jonathan Taylor,IND,RB,19.8,4,0.0,0.0,0.0,0.0,21.0,88.0,1.0,0.0,4.0,3.0,20.0,0.0,QUESTIONABLE,18.34,False
Nico Collins,HOU,WR,33.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,151.0,1.0,ACTIVE,15.31,False
Sam LaPorta,DET,TE,9.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,53.0,0.0,ACTIVE,13.99,False
Joe Mixon,HOU,RB,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,15.62,False
Malik Nabers,NYG,WR,23.1,4,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,0.0,15.0,12.0,115.0,0.0,QUESTIONABLE,14.84,False
C.J. Stroud,HOU,QB,23.5,4,27.0,345.0,2.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,18.44,False
Rashee Rice,KC,WR,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OUT,14.95,True
Keenan Allen,CHI,WR,4.9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,19.0,0.0,ACTIVE,15.55,False
George Kittle,SF,TE,14.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,45.0,1.0,QUESTIONABLE,11.7,False
Jayden Reed,GB,WR,27.1,4,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,7.0,139.0,1.0,ACTIVE,12.03,False
DeAndre Hopkins,TEN,WR,5.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,31.0,0.0,ACTIVE,12.7,False
Brock Purdy,SF,QB,14.62,4,15.0,288.0,1.0,1.0,5.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,ACTIVE,17.29,False
Ravens D/ST,BAL,D/ST,10.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,7.63,False
Harrison Butker,KC,K,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,8.62,False
Jameson Williams,DET,WR,16.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0,ACTIVE,10.78,False
Javonte Williams,DEN,RB,10.0,4,0.0,0.0,0.0,0.0,16.0,77.0,0.0,0.0,3.0,2.0,3.0,0.0,ACTIVE,13.23,False
Breece Hall,NYJ,RB,3.8,4,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,5.0,2.0,14.0,0.0,ACTIVE,20.67,False
Saquon Barkley,PHI,RB,13.6,4,0.0,0.0,0.0,0.0,10.0,84.0,0.0,0.0,4.0,2.0,32.0,0.0,ACTIVE,18.03,False
Marvin Harrison Jr.,ARI,WR,15.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,45.0,1.0,ACTIVE,15.2,False
Chris Olave,NO,WR,16.7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,87.0,0.0,ACTIVE,16.38,False
DJ Moore,CHI,WR,11.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,22.0,1.0,ACTIVE,14.91,False
Mark Andrews,BAL,TE,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ACTIVE,12.55,False
Chris Godwin,TB,WR,12.9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,69.0,0.0,ACTIVE,14.27,False
Rhamondre Stevenson,NE,RB,8.2,4,0.0,0.0,0.0,0.0,13.0,43.0,0.0,1.0,5.0,4.0,19.0,0.0,ACTIVE,13.71,False
Jake Ferguson,DAL,TE,11.9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,49.0,0.0,ACTIVE,11.05,False
Kyler Murray,ARI,QB,9.98,4,16.0,142.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,17.61,False
T.J. Hockenson,MIN,TE,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OUT,13.0,True
Jerome Ford,CLE,RB,15.5,4,0.0,0.0,0.0,0.0,10.0,58.0,0.0,0.0,7.0,7.0,27.0,0.0,ACTIVE,10.2,False
Carson Steele,KC,RB,-0.4,4,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,ACTIVE,1.36,False
Jauan Jennings,SF,WR,11.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,88.0,0.0,ACTIVE,4.88,False
Dolphins D/ST,MIA,D/ST,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,6.87,False
Chris Boswell,PIT,K,8.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,7.63,False
Sam Darnold,MIN,QB,20.5,4,20.0,275.0,3.0,1.0,7.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,ACTIVE,14.81,False
Ja'Marr Chase,CIN,WR,17.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,85.0,1.0,ACTIVE,20.67,False
A.J. Brown,PHI,WR,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OUT,17.32,True
Puka Nacua,LAR,WR,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INJURY_RESERVE,17.2,True
James Cook,BUF,RB,5.8,4,0.0,0.0,0.0,0.0,9.0,39.0,0.0,0.0,1.0,1.0,9.0,0.0,ACTIVE,15.85,False
Kenneth Walker III,SEA,RB,33.6,4,0.0,0.0,0.0,0.0,12.0,80.0,3.0,0.0,5.0,4.0,36.0,0.0,ACTIVE,15.17,False
