Name,Projected_Points_Model,projected_points,injuryStatus,lineupSlot
Kyler Murray,22.162399999999987,17.61,ACTIVE,QB
Travis Etienne Jr.,21.46300000000001,16.1,ACTIVE,RB
Joe Flacco,20.624999999999986,6.36,ACTIVE,QB
Jayden Daniels,20.056600000000014,17.06,ACTIVE,QB
Geno Smith,19.434799999999985,16.22,ACTIVE,QB
Lamar Jackson,19.1886,20.26,ACTIVE,QB
Justin Fields,18.469000000000005,17.93,ACTIVE,QB
Rachaad White,18.32800000000001,16.09,ACTIVE,RB
Anthony Richardson,18.308799999999998,18.39,ACTIVE,QB
Justin Jefferson,18.247999999999987,18.81,ACTIVE,WR
Saquon Barkley,17.686,18.03,ACTIVE,RB
Nico Collins,17.638999999999996,15.31,ACTIVE,WR
Derek Carr,17.608199999999997,14.58,ACTIVE,QB
Jalen Hurts,17.443800000000003,20.95,ACTIVE,QB
Tony Pollard,17.405000000000012,12.34,ACTIVE,RB
Jared Goff,17.34299999999998,15.66,ACTIVE,QB
CeeDee Lamb,17.296999999999997,21.12,ACTIVE,WR
Josh Allen,17.164599999999993,20.91,ACTIVE,QB
Tyson Bagent,17.047200000000014,8.1,ACTIVE,QB
Bryce Young,16.960000000000004,14.91,ACTIVE,QB
Matthew Stafford,16.725999999999992,16.03,ACTIVE,QB
Patrick Mahomes,16.573200000000014,20.51,ACTIVE,QB
Brock Bowers,16.550000000000004,9.6,ACTIVE,TE
Baker Mayfield,16.492199999999993,16.36,ACTIVE,QB
Joe Burrow,16.2012,18.58,ACTIVE,QB
Stefon Diggs,16.134000000000015,15.12,ACTIVE,WR
Bijan Robinson,16.088,20.91,ACTIVE,RB
Rhamondre Stevenson,15.939,13.71,ACTIVE,RB
Kyren Williams,15.868000000000004,16.63,ACTIVE,RB
Deshaun Watson,15.851200000000008,17.24,ACTIVE,QB
Mike Williams,15.730000000000008,11.65,ACTIVE,WR
Breece Hall,15.725000000000016,20.67,ACTIVE,RB
Trevor Lawrence,15.699999999999996,16.61,ACTIVE,QB
Rome Odunze,15.68900000000001,11.68,ACTIVE,WR
James Cook,15.653999999999995,15.85,ACTIVE,RB
Tyreek Hill,15.631000000000002,19.93,ACTIVE,WR
